"First Name","Last Name","Gender","Age"
"Elian","Mason","Male","30"
"Audrey","Ross","Female","20"
"David","Stewart","Male","21"
"Eleanor","Barnes","Female","23"
"Leonardo","Carroll","Male","21"
"Dominik","Thompson","Male","28"
"Savana","Crawford","Female","26"
"Eleanor","Morrison","Female","19"
"Evelyn","Russell","Female","18"
"Deanna","Morgan","Female","25"
"Alexander","Parker","Male","23"
